id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MAP1LC3C	296.806212363181	-5.1846638373877	0.669365789157296	-7.7456361250774	9.51045035512588e-15	4.96445508537571e-12
MLXIPL	1747.85726226067	-5.57463207727738	0.720836393967786	-7.73356079677425	1.04579391329044e-14	5.2984841030415e-12
LIPE	22168.3735685078	-6.07258028930354	0.786411143753008	-7.72188992684314	1.14617356599778e-14	5.64113881367938e-12
MYH1	166.686182695346	-6.18493172809305	0.80911134436699	-7.6441045736812	2.10404359027106e-14	1.0067848579447e-11
AQP7	5637.28349469958	-6.79615003503807	0.890488982104263	-7.63193051415244	2.31264085491544e-14	1.07669057748036e-11
ST6GALNAC1	132.230116145092	-3.90247826285082	0.511678660164224	-7.62681457459711	2.40625305271681e-14	1.09079250226578e-11
ABCA10	599.070769171396	-4.43671322895159	0.583188464217898	-7.60768345255521	2.79052271141827e-14	1.23255241607413e-11
CIDEC	15578.1131308749	-7.10653726769448	0.93511515078153	-7.59963867739191	2.96958705281183e-14	1.27145158390226e-11
HEPACAM	638.194600355902	-7.09941328156311	0.934478367970027	-7.5971938194623	3.02621124695185e-14	1.27145158390226e-11
CST1	439.041044999218	7.46011582278122	0.982806867852183	7.59062239673242	3.183724892202e-14	1.30578202364456e-11
ACSM5	939.789951885383	-5.60829334794684	0.739941068951303	-7.57937839008626	3.47214481728557e-14	1.39095736331538e-11
FMO2	8608.29215668469	-4.8641942192398	0.647355557186827	-7.51394525811724	5.73715822291777e-14	2.24609744427231e-11
ITGA7	7424.63734439736	-4.70465859543542	0.628274079949614	-7.48822646927074	6.98104947532687e-14	2.55862889919108e-11
KIAA1199	890.748877053189	5.31115447617859	0.7089331739895	7.49175616411097	6.79580896993685e-14	2.55862889919108e-11
GCOM1	2883.92060882447	-4.23157647870109	0.564924158033532	-7.49052137092343	6.86005544955432e-14	2.55862889919108e-11
SLC2A4	2378.78396043524	-6.26623020088742	0.837943205655671	-7.47810849063958	7.53999424761976e-14	2.70591543561454e-11
ZNF469	1058.57730689895	2.24314092365493	0.301218709905119	7.44688443942112	9.55702620103745e-14	3.35978231304227e-11
PTPRN	107.108373627634	5.81274167532107	0.78092198833664	7.44343450707821	9.81007485317182e-14	3.37976698841476e-11
LEPR	3703.01849447527	-3.58729809662199	0.483472425796824	-7.41986079290803	1.17243497164983e-13	3.9600715336549e-11
RBP4	11265.9161690641	-6.62144604957792	0.893805059407483	-7.40815458570728	1.28068971686067e-13	4.24253097358497e-11
PCK1	5937.74625934387	-7.06134258119335	0.96140176264222	-7.34484047729085	2.0600464630006e-13	6.69553969276382e-11
SLC4A4	962.607112899986	-5.13806449728811	0.699833752129332	-7.341835802653	2.10683772772754e-13	6.72081235145086e-11
MYOM1	1122.47398638741	-4.71650236432146	0.642923632742019	-7.33602270024816	2.20034716908636e-13	6.89148733357849e-11
G0S2	8478.44373082286	-5.70341299302638	0.779608841280383	-7.31573667591998	2.55973185384688e-13	7.87391802042256e-11
NTRK2	12113.4811838115	-3.73978410645737	0.511870020144019	-7.30612061516155	2.74965372716784e-13	8.30974300073566e-11
C14orf180	1156.34410365808	-6.83614083126909	0.941678967435966	-7.25952375243418	3.88455579030818e-13	1.15371306972153e-10
CD36	87835.1776093015	-5.56172144765364	0.770511262720405	-7.21822212957297	5.26716308534288e-13	1.53783307301892e-10
AOX1	2218.95497757165	-3.97699117183914	0.553220637159682	-7.18879756955129	6.53643994240126e-13	1.8766119074634e-10
PLIN4	91666.7135608378	-6.51462206946973	0.909408202420275	-7.16358402324928	7.85946524715599e-13	2.21946144831982e-10
TIMP4	6423.90704508163	-6.387047141886	0.899143411275127	-7.10347989185413	1.21654055846699e-12	3.38002059034716e-10
FHL5	342.769001926003	-3.51360002646122	0.496125766373523	-7.08207528132273	1.42011469316383e-12	3.88299931816509e-10
NPR1	4449.47077247615	-4.32987087848368	0.614018586874516	-7.05169350088184	1.76753206609886e-12	4.7574230266592e-10
CRHBP	297.305276838599	-5.59526519511997	0.796139831512127	-7.0279930404848	2.09525345554015e-12	5.55274400386687e-10
MYOCD	100.856296681065	-4.2247675442757	0.603376833151452	-7.00187231619358	2.52564211827167e-12	6.59192592868905e-10
ENPP2	7895.98678180126	-3.46292824228988	0.495255500446594	-6.99220551648028	2.70598086244507e-12	6.95719796066847e-10
PPARG	5246.80019080776	-4.69229772895826	0.672154648346391	-6.98097936316005	2.93129374634856e-12	7.42565677567651e-10
GPLD1	245.305519737241	-4.15632905211432	0.595846048716939	-6.97550828953943	3.04766908784125e-12	7.60857213147151e-10
PDE2A	2744.47376914081	-3.90348678880125	0.561735651159763	-6.94897463022347	3.67950703477617e-12	8.9272096029654e-10
MAPK8IP2	1638.15784859637	4.16280614790722	0.598881123445397	6.95097237989128	3.62776900225773e-12	8.9272096029654e-10
SORBS1	29969.804127505	-4.38051051481619	0.632613441762476	-6.92446638916173	4.37621922683148e-12	1.04701045001943e-09
ROBO3	296.847206414507	-2.02670849679303	0.293807061289036	-6.89809321770942	5.27051598828931e-12	1.24369737553797e-09
C14orf139	2097.17535260245	-4.36313285366819	0.63441829973682	-6.87737547211072	6.0965273915313e-12	1.41917271414214e-09
TNXB	18001.6429917099	-4.86364865853362	0.709257533392595	-6.85738033020152	7.01347315479252e-12	1.61085451419275e-09
MAZ	9348.58729733561	1.74762082431695	0.255606090905433	6.83716424020399	8.07761177142197e-12	1.83085447861204e-09
KCNB1	392.427971262903	-4.70713854416484	0.688771858706019	-6.83410404282202	8.25191212218909e-12	1.84607062619259e-09
KCNIP2	9242.68106566103	-6.0377142735423	0.887795750384887	-6.80079204132793	1.04045522762082e-11	2.29780535269182e-09
KLB	2421.45763620372	-5.84360057685132	0.85962171079868	-6.79787458069433	1.06173820493602e-11	2.31512687572504e-09
AOC3	32119.0263282959	-4.76366162697782	0.702371451512557	-6.78225405762047	1.18315170715501e-11	2.54762141343153e-09
PLIN1	58736.2079377629	-6.39310904570006	0.944241203835275	-6.77063129604262	1.28221660824086e-11	2.72684732019223e-09
APLP1	461.25802431182	3.78690778579045	0.559819772751379	6.76451238436741	1.33758918699806e-11	2.8099160164913e-09
PPP1R12B	5884.64149867409	-1.97504229410048	0.292114748806581	-6.76118649321681	1.36866210625847e-11	2.84055101715763e-09
MFAP2	1799.58904405078	2.76455063436539	0.409210511782079	6.7558152949835	1.42034269366495e-11	2.87844979306734e-09
CD300LG	3566.99328968814	-6.00166280934893	0.888309162006391	-6.75627705538148	1.41582565794377e-11	2.87844979306734e-09
GRM4	47.4375982273913	4.24332389700314	0.630427240706918	6.73087015124055	1.68651425193819e-11	3.37812726789387e-09
ASPA	331.25217408905	-4.89102172464671	0.729674958321257	-6.70301436121551	2.04163390189814e-11	4.04243512575832e-09
PDE8B	696.743879450752	-4.03736370969693	0.603234559675054	-6.69285876437806	2.18852346309886e-11	4.28403467901602e-09
C12orf39	542.119411420607	-7.10567759325151	1.06272925213443	-6.68625388731908	2.28955680689162e-11	4.41216854618982e-09
GPR146	1655.85982312949	-4.06405249834011	0.607912742718451	-6.68525630860535	2.30520822684944e-11	4.41216854618982e-09
EPB42	110.686788587515	-6.35073903397985	0.952143645223402	-6.66993795089582	2.55911599017287e-11	4.84432220293602e-09
APOB	786.180296523925	-5.8293806730594	0.874297977158276	-6.66749875369332	2.60199670494529e-11	4.87195600428126e-09
ALDH1L1	3169.6187525409	-5.67131567501101	0.856920819225751	-6.61824937353626	3.63477499266064e-11	6.73254129285722e-09
AKR1C3	4282.72690767461	-3.02411349573425	0.457150626788645	-6.61513584040736	3.71210712542564e-11	6.80263375984916e-09
ADH1A	1129.92850942301	-6.55023737265043	0.99092236601415	-6.61024273677247	3.83690360833247e-11	6.95731595338265e-09
GPD1	33986.1887615127	-6.41503933061343	0.970808634548201	-6.60793394529179	3.89720492983943e-11	6.99304709598063e-09
CLEC3B	4653.2281836103	-4.6762674836247	0.709921381785979	-6.58702161056259	4.48736989456594e-11	7.88769732691764e-09
HSPB6	17232.438433747	-4.86940592791634	0.739101353342326	-6.58827900381479	4.44953923366254e-11	7.88769732691764e-09
ACVR1C	6947.21309668075	-5.95024435609547	0.903968882441508	-6.58235529084209	4.63053417662913e-11	8.05712946733469e-09
FRMD1	205.527799900355	-5.90030102669419	0.898669943762978	-6.5655929272409	5.18262202776546e-11	8.92758470502879e-09
ALG1L	90.6858152819868	3.81333399518675	0.58093861646607	6.56409108828707	5.23511942855349e-11	8.92872943329331e-09
INHBA	985.459217810444	4.08972658180296	0.624033668674643	6.55369539673868	5.61304037372791e-11	9.47943465468991e-09
CIDEA	4805.93357394956	-6.5890778138365	1.00684205487232	-6.54430134493349	5.97741610505125e-11	9.99679318695271e-09
TGFBR2	20444.9911246142	-2.76749441105023	0.423428242631862	-6.53592305002751	6.32184149426227e-11	1.04711578442463e-08
PPP1R1A	7367.9820806326	-5.22672234472789	0.800337151514228	-6.53065065746229	6.54845787843045e-11	1.06099279808424e-08
TNNT1	705.819651294315	6.17019888791811	0.945040076103869	6.52903410546998	6.61951783091336e-11	1.06099279808424e-08
ANO3	368.993077671809	-5.58758305820805	0.855405531432973	-6.53208665701255	6.48596071699363e-11	1.06099279808424e-08
RPLP0P2	155.506510129623	3.52146955751481	0.539415932124858	6.52830097851039	6.651992464478e-11	1.06099279808424e-08
GPAM	33940.2642399502	-5.01611447555763	0.770902469684386	-6.50680815383983	7.67643437548248e-11	1.21315833534001e-08
DPP6	84.1876178875787	-4.59098801703574	0.705978994882793	-6.50300936757748	7.87288912647149e-11	1.23289443720543e-08
MAOA	12052.8605591136	-4.74715940769869	0.730359286482012	-6.49975908510011	8.04487396331175e-11	1.24847746749557e-08
ABCD2	1514.81711415602	-5.50787470402836	0.847612389775025	-6.49810546715848	8.13377773635537e-11	1.25100406505766e-08
ZNF676	76.2889874339708	-3.39086412099653	0.52244748472844	-6.49034442717061	8.56403594699724e-11	1.3055228603803e-08
NAALAD2	439.935360472785	-4.20396828937862	0.650374376599938	-6.46392053659363	1.02024462663131e-10	1.54164332792551e-08
CKMT2	315.586509202236	-4.14784319709612	0.642949899122542	-6.45126969108609	1.10916912671416e-10	1.66143890232854e-08
PCDH9	568.530446110348	-4.42828721515176	0.68740125766165	-6.44207028397878	1.17854676961638e-10	1.75014195288032e-08
TMEM145	57.2875062576475	4.59113560556565	0.713983571008977	6.43030987264541	1.27344073179418e-10	1.87489658511851e-08
GRIN2D	162.830135034184	2.96961056899202	0.464294418323643	6.39596439628531	1.59537177590086e-10	2.30940119425783e-08
USP53	3608.22238129785	-1.97748016580693	0.309120585314142	-6.39711575273231	1.58339295595251e-10	2.30940119425783e-08
RDH5	2461.35330578894	-5.04318408247515	0.789057177822823	-6.39140511514054	1.64368265170119e-10	2.35950644651706e-08
CABLES2	1033.46498767641	2.40229622182912	0.378089958193463	6.35376891073076	2.10102395664043e-10	2.97992188734118e-08
TMEM132C	3057.08112825473	-5.71922893351025	0.900229496575613	-6.35307880408901	2.11047527142473e-10	2.97992188734118e-08
NMUR1	285.205213454619	-4.55351586693893	0.717459873972673	-6.34671851643144	2.19956044886727e-10	3.0804575847307e-08
LIFR	8406.85217647379	-2.72646682420351	0.430111656150672	-6.33897450862946	2.31299499918719e-10	3.21319773032247e-08
PKHD1L1	107.427562216787	-4.14340964593352	0.655232258252027	-6.32357395984587	2.55581786375853e-10	3.52212148168836e-08
PAMR1	1640.05269193718	-3.33159193285003	0.527530389940188	-6.31545024965817	2.69376037167732e-10	3.68275525099314e-08
SLC14A2	88.6701177461416	-4.44982432127673	0.705114538156963	-6.31078226369822	2.7762856067457e-10	3.76569258754342e-08
TGFBR3	9738.546339379	-3.7496068023219	0.594486909718375	-6.30729918695467	2.83946623759763e-10	3.82130042256694e-08
SEMA3G	7848.62285309677	-4.3399595239496	0.688552997824179	-6.3030144922233	2.91911584798663e-10	3.89803795328819e-08
MYBL2	2976.14534893086	5.099507155618	0.80977371724903	6.29744711021505	3.02587553585472e-10	4.00951784466411e-08
PYGM	597.410447400017	-5.21917536069495	0.82921443107028	-6.29412027231422	3.09148064163625e-10	4.03438223733531e-08
XIRP1	48.0093753009318	3.70090473768783	0.587980432882094	6.29426513319017	3.08859528864054e-10	4.03438223733531e-08
TMC2	51.3481275381604	-4.48333652722135	0.713359242767589	-6.28482293132915	3.2822757981301e-10	4.25116412771347e-08
SLC19A3	9689.73035552389	-5.75021376387509	0.916383737241474	-6.2748972184781	3.49865333139523e-10	4.49759718556823e-08
CHRDL1	15112.2596196018	-4.68150268917725	0.746273261771876	-6.27317489315101	3.53759151747193e-10	4.51396677629419e-08
ADRA1A	134.857610138951	-5.1631514180701	0.823638277446881	-6.26871232123266	3.64045984313078e-10	4.61107068071844e-08
GLYAT	941.393466631212	-6.36737089490387	1.01670993982559	-6.26272120049908	3.78316662194495e-10	4.75684877588494e-08
GLDN	1244.4375024436	-4.6643920150173	0.7455325850719	-6.25645626819579	3.93823470109025e-10	4.91594427253483e-08
AKR1C1	6314.19425385323	-4.43007130830067	0.710105393245074	-6.2386109871042	4.41473342822977e-10	5.47109338379036e-08
SCAMP3	4431.86602568352	1.10388430349465	0.177582449672546	6.21617905108394	5.09406738682513e-10	6.26788605753212e-08
GNAL	512.316752293291	-2.93515867519405	0.474000593087502	-6.19231013209347	5.92887482925251e-10	7.24331899352509e-08
CDH20	63.8230437751925	-5.86363622136304	0.948200078831581	-6.18396512747447	6.25111825264675e-10	7.58322274789386e-08
ABCA9	2827.34010937165	-4.45929156153043	0.721449921258224	-6.18101330408815	6.36914481644457e-10	7.62130784615359e-08
E2F7	131.696648341228	3.68358907324211	0.59595672704367	6.18096735230273	6.37099924443351e-10	7.62130784615359e-08
RGS4	1289.98237757885	4.02992773304879	0.655891699621587	6.1441968778898	8.036910857501e-10	9.52917093228674e-08
CCDC141	69.6272025998059	-3.71585739058685	0.604851925666922	-6.14341664943807	8.07650618898098e-10	9.52917093228674e-08
EBF1	3925.6844092494	-3.55711724168155	0.579139346115635	-6.14207490052198	8.14504316729174e-10	9.54466078909983e-08
LAGE3	1035.44882276307	1.95010277015965	0.317679883146861	6.13857808949813	8.32633806266589e-10	9.6261409038579e-08
MRPL24	3644.15114339556	1.12439663960635	0.183160678762817	6.13885385881529	8.31189878343127e-10	9.6261409038579e-08
SCAMP5	1124.69044851783	1.88866838561792	0.307740497867444	6.13721105511255	8.39827797747197e-10	9.64458242932881e-08
PFKFB1	723.009276510513	-5.32997421952158	0.869507544472093	-6.12987690952996	8.794708848906e-10	9.96695096258256e-08
FZD4	19672.1893652513	-3.92846095999356	0.640831442913003	-6.13025625293307	8.77376409417688e-10	9.96695096258256e-08
ABCA8	5453.90043589443	-4.6553814513283	0.75998320731595	-6.12563725949922	9.03213680461027e-10	1.01691234376612e-07
BGN	24038.9906768001	2.15057812365516	0.351183394257523	6.1238035705018	9.13675258402255e-10	1.01693185370225e-07
LGALS12	3921.82036952335	-6.15606918588926	1.00530784773892	-6.12356622872799	9.15037950330013e-10	1.01693185370225e-07
PTCHD3	100.370791138625	-6.46320667590406	1.05680504182703	-6.11579848704193	9.60746689915683e-10	1.06088605644151e-07
HRASLS5	3023.473460952	-4.77206636390742	0.780660855253979	-6.11285468176175	9.78644813673123e-10	1.07376659619957e-07
GYG2	16226.8535505014	-4.80680768442521	0.787729268516471	-6.1021062394671	1.04679754762378e-09	1.14127433894729e-07
RUSC1	2452.9849093594	1.57999283624539	0.259058308887584	6.09898537140151	1.06743837052526e-09	1.15645870255774e-07
GSN	85826.0101083344	-3.06134069257165	0.502404115602963	-6.09338299089681	1.10549147193739e-09	1.19019975597459e-07
HEPN1	428.872255282325	-5.62189278803104	0.923737621432053	-6.08602773947382	1.15746396727773e-09	1.23841455281529e-07
FAM83D	821.051866643375	4.50295544421741	0.740414329388228	6.08166976986791	1.1893733919281e-09	1.26470037341688e-07
TPX2	3934.78706374314	4.41139689705124	0.726485721501485	6.07224170618778	1.26136883091918e-09	1.33302696204993e-07
LOC388152	740.888002960246	2.53502356928512	0.417685151049537	6.06922118948984	1.28532020911353e-09	1.3500564586701e-07
POSTN	49797.9788967066	2.95631689680042	0.487541006799048	6.06372972852094	1.33000582049317e-09	1.38852607659487e-07
COL6A6	920.113437621259	-4.39619535730515	0.725269643950133	-6.0614633384648	1.34888636601956e-09	1.39975400849716e-07
GFRA2	166.979995029553	-3.76806426935918	0.622032869283314	-6.05766102633872	1.38115057115548e-09	1.42465267896552e-07
SYNGR3	98.1119874157766	4.01060178971292	0.662470942329049	6.05400408297584	1.41289026434279e-09	1.4487171246172e-07
KREMEN2	144.063952506781	5.26781570232711	0.870427094072874	6.05198957867696	1.43067727323235e-09	1.45827495317754e-07
TFR2	115.299074827763	4.31046261143225	0.712514730752706	6.04964701133778	1.45163545460113e-09	1.47093366711524e-07
MAPK10	1159.08634785193	-3.4593477428095	0.571963197306943	-6.0481998826107	1.4647316473894e-09	1.47552440689648e-07
PNCK	99.3866825536074	4.16696466055864	0.690104196742211	6.03816739592327	1.55874320140914e-09	1.5610994411322e-07
CILP2	611.503338975686	3.9030983263081	0.649001880416564	6.01400156776569	1.80998757786965e-09	1.80224543447298e-07
ADH1C	639.404599118984	-4.96302522046763	0.826248224489037	-6.00670001262252	1.89337367170743e-09	1.87443993499036e-07
TACC1	14513.1213857349	-2.72275300689631	0.453575717448888	-6.0028632533732	1.93867891727212e-09	1.90832474451026e-07
LOC283392	1201.43629149733	-6.28218649033169	1.046795024281	-6.00135302959302	1.95680015454492e-09	1.91521815126084e-07
HIF3A	592.242123281582	-4.52759417291718	0.754784724735564	-5.99852384996716	1.9911927846776e-09	1.93786931688454e-07
CNTFR	1909.46500592691	-5.47136262281838	0.912326317919961	-5.99715531093381	2.00803992905013e-09	1.94328628189986e-07
ODZ1	179.227346229531	-3.81881498198922	0.637638427527619	-5.98899755272954	2.11138340361864e-09	2.03188215143769e-07
MME	12491.4476881444	-3.38764069026731	0.565835541226678	-5.98697049486008	2.13785545558363e-09	2.04592767099353e-07
PAPPA2	218.085736016825	-5.00587006129306	0.838157840644688	-5.97246702058252	2.3369239801286e-09	2.22408024760747e-07
PDK4	15411.5135725747	-3.13106925635295	0.524860071806094	-5.96553143312776	2.43839099434303e-09	2.30789688288753e-07
S1PR1	3850.16595320809	-2.60598005853405	0.437013908118635	-5.96315130965263	2.47419110607585e-09	2.32898448050616e-07
MAMDC2	1595.01524138328	-3.3870988882952	0.568440650609482	-5.95857964180351	2.54439642247539e-09	2.38205286812832e-07
IL11RA	696.596935012794	-1.8719315261101	0.314550774140142	-5.95112674965503	2.66302745522078e-09	2.47963842938558e-07
FABP4	101838.887686554	-5.75875562995276	0.968342667013696	-5.94702250156174	2.73063886344822e-09	2.5154002706823e-07
IGSF10	1983.33323472457	-3.24087263072076	0.544906606600455	-5.94757448609369	2.72144937768792e-09	2.5154002706823e-07
CCDC69	6527.02112201068	-3.83854237931183	0.646246879959978	-5.93974609138469	2.85463859362651e-09	2.61563853264948e-07
EPAS1	27286.0673924225	-2.59306967067534	0.436700238617659	-5.93787097273751	2.88747139476974e-09	2.63172392837585e-07
SMS	6435.64585026685	1.90330384385574	0.320606742273584	5.93656836521419	2.91049583452188e-09	2.63874743397231e-07
LRRC15	3868.13555238518	3.52710530294979	0.594220961031263	5.93567971218743	2.92630583835522e-09	2.63919080479094e-07
ANGPT1	1270.97774778135	-3.50205451708209	0.591178078921952	-5.9238571962416	3.14476570336682e-09	2.82144447948942e-07
UBE2C	2664.56924457338	5.35705448202925	0.90897295701084	5.89352459906611	3.78043792161095e-09	3.3395806993677e-07
TNMD	402.817765850253	-4.90958315272501	0.833025157714381	-5.89367932920023	3.77689791104294e-09	3.3395806993677e-07
C7orf41	12246.3468151381	-3.64438783727699	0.618314690097757	-5.89406639635362	3.76805647814909e-09	3.3395806993677e-07
PRKAR2B	19177.377644368	-3.98021175334959	0.675608859559996	-5.89129597255694	3.83178548350512e-09	3.36767024177853e-07
IGFBP6	2146.60408036815	-3.31385589836769	0.562861345699679	-5.88751727878616	3.92040195157043e-09	3.42806314810925e-07
MASP1	227.428830605576	-3.80720773904096	0.647185963773142	-5.88271061511386	4.03601247657978e-09	3.49368597595795e-07
ANLN	2319.2700953441	4.29682118797548	0.730396822052202	5.88285854790916	4.03240539108344e-09	3.49368597595795e-07
PTPRB	4969.51856239754	-2.48960174764036	0.423348805255842	-5.8807340819961	4.0845091603343e-09	3.51798773979593e-07
SRPX	4085.97548524918	-2.92857360937897	0.498478831932553	-5.8750210074622	4.22789730055603e-09	3.6233710895213e-07
LOC55908	101.950708123113	-5.20652556201403	0.888027369908351	-5.86302375179199	4.54513176589112e-09	3.87596236629903e-07
TNNI3	51.9541651130698	5.83041258339568	0.99677557256311	5.84927314019479	4.93725758845443e-09	4.1896157250599e-07
MAST1	112.983108755234	4.73273483331374	0.809452228680127	5.84683649710969	5.01009512423147e-09	4.23058326519664e-07
FAM13A	7126.05521528757	-3.76677196965673	0.644876138469048	-5.84107822410539	5.18640428921945e-09	4.35809757493143e-07
ZNF695	202.194869831841	4.63603039269934	0.794470856808588	5.83536872746019	5.36717394698775e-09	4.48810380635005e-07
TMEM215	58.6889928359489	5.84869668734008	1.00431258599656	5.82358198920363	5.75995366748585e-09	4.79328318242084e-07
C17orf91	867.76516149216	-2.19735425549017	0.377377615964409	-5.82269366950848	5.79066356179204e-09	4.79567165939566e-07
ADHFE1	952.980897835013	-3.75642685422559	0.645355682231216	-5.82070780137604	5.85989370252059e-09	4.82978607270908e-07
CHL1	2993.92173445825	-4.15196551845029	0.713544961270887	-5.81878612253847	5.92765230257789e-09	4.86236850305746e-07
CRIM1	14596.1157674904	-2.41798327582222	0.415768630852429	-5.81569434631168	6.03827124546989e-09	4.92963319784191e-07
DPT	14240.334150377	-4.22501621812774	0.727275891530117	-5.80937202419666	6.27076064642062e-09	5.09528881581329e-07
GPBAR1	183.292439882174	-4.10400679484883	0.706704476831705	-5.80724606874984	6.35087659822907e-09	5.13615963761004e-07
CDCA2	696.741580681969	4.70983056320657	0.811521567166837	5.80370350433127	6.48659385312328e-09	5.22140493990194e-07
NOVA1	1038.01914737157	-3.89121095226025	0.671344822408409	-5.79614353515198	6.78571925955437e-09	5.43678139372482e-07
TRIM59	533.93664709747	2.69609578641854	0.465337241713043	5.79385345667461	6.87894873266908e-09	5.48596161430359e-07
TMEM37	3383.57954396857	-4.00904121742748	0.692329090394453	-5.79065833438161	7.01110690941573e-09	5.56559113463573e-07
C7orf58	4034.75923355716	-3.94096410908609	0.682104048705955	-5.77765828624334	7.57474502265987e-09	5.98543842937335e-07
FGFBP2	523.881412224449	-4.67777963013501	0.810248263882972	-5.77326708201457	7.77490548844006e-09	6.11554894720861e-07
PRRT4	440.632874372815	-4.67651769225819	0.811993356812015	-5.75930536010636	8.44607883833172e-09	6.61327973041373e-07
CCL11	30.1268228380098	4.94301857848212	0.858625965197257	5.75689389657175	8.56757230020345e-09	6.67805431870157e-07
EPYC	135.93760656251	5.56173594951958	0.969753798330453	5.73520408901183	9.73949958875991e-09	7.55732522144046e-07
C1orf183	223.032414545301	-2.10153234888944	0.367523645152777	-5.71808746622507	1.07729689476371e-08	8.32175619246624e-07
ANK2	3490.67238669638	-2.97807256906124	0.521874252115356	-5.70649453769748	1.15326606210068e-08	8.86882195792246e-07
SLC29A1	6420.4343774244	-1.5659236589946	0.27451167088891	-5.70439739018711	1.16755401092633e-08	8.91603986928676e-07
TUSC5	10953.0281685902	-5.8293831869938	1.021967985256	-5.70407612674244	1.16975793013979e-08	8.91603986928676e-07
PDE11A	596.493807843658	-3.78350266968188	0.664068574449377	-5.69745778561956	1.21607079065659e-08	9.22820944486802e-07
PTGER4	1142.85741391814	-2.15501212343856	0.378853593191781	-5.68824517482578	1.28351459721419e-08	9.69729054895244e-07
